accounter,LoopSpeedArr,UploadSpeedArr,set_index,Ax,Ay,Az,gx,gy,gz,temp,timingForThisSet,timeDifference
181,229,168,0,10.18,0.8,-2.26,1.05,0.03,0.11,36.53,3.0,
181,229,168,1,10.21,0.96,-2.24,1.06,0.03,0.1,36.48,3.0,
181,229,168,2,10.21,0.85,-2.41,1.06,0.03,0.09,36.53,3.0,
181,229,168,3,10.26,0.76,-2.43,1.07,0.03,0.07,36.44,3.0,
181,229,168,4,10.3,0.83,-2.55,1.07,0.04,0.05,36.53,3.0,
181,229,168,5,10.38,0.83,-2.62,1.07,0.05,0.04,36.48,3.0,
181,229,168,6,10.28,0.76,-2.73,1.07,0.06,0.01,36.48,3.0,
181,229,168,7,10.35,0.71,-2.72,1.07,0.08,-0.01,36.48,3.0,
181,229,168,8,10.38,0.82,-2.78,1.07,0.1,-0.04,36.53,3.0,
181,229,168,9,10.41,0.8,-2.82,1.07,0.12,-0.06,36.44,3.0,
181,229,168,10,10.34,0.8,-2.86,1.07,0.14,-0.09,36.53,3.0,
181,229,168,11,10.4,0.86,-2.91,1.08,0.16,-0.11,36.53,3.0,
181,229,168,12,10.36,0.98,-2.96,1.08,0.18,-0.13,36.39,3.0,
181,229,168,13,10.33,0.86,-2.86,1.08,0.21,-0.15,36.58,3.0,
181,229,168,14,10.37,0.96,-3.05,1.09,0.24,-0.17,36.39,3.0,
181,229,168,15,10.4,1.06,-2.85,1.1,0.26,-0.19,36.53,3.0,
181,229,168,16,10.33,0.98,-2.92,1.12,0.29,-0.21,36.53,3.0,
181,229,168,17,10.33,1.09,-2.95,1.12,0.31,-0.23,36.53,3.0,
181,229,168,18,10.28,1.11,-2.85,1.14,0.34,-0.25,36.58,3.0,
181,229,168,19,10.26,1.11,-2.94,1.15,0.37,-0.26,36.48,3.0,
182,216,168,0,10.18,0.8,-2.26,1.05,0.03,0.11,36.53,3.0,
182,216,168,1,10.21,0.96,-2.24,1.06,0.03,0.1,36.48,3.0,
182,216,168,2,10.21,0.85,-2.41,1.06,0.03,0.09,36.53,3.0,
182,216,168,3,10.26,0.76,-2.43,1.07,0.03,0.07,36.44,3.0,
182,216,168,4,10.3,0.83,-2.55,1.07,0.04,0.05,36.53,3.0,
182,216,168,5,10.38,0.83,-2.62,1.07,0.05,0.04,36.48,3.0,
182,216,168,6,10.28,0.76,-2.73,1.07,0.06,0.01,36.48,3.0,
182,216,168,7,10.35,0.71,-2.72,1.07,0.08,-0.01,36.48,3.0,
182,216,168,8,10.38,0.82,-2.78,1.07,0.1,-0.04,36.53,3.0,
182,216,168,9,10.41,0.8,-2.82,1.07,0.12,-0.06,36.44,3.0,
182,216,168,10,10.34,0.8,-2.86,1.07,0.14,-0.09,36.53,3.0,
182,216,168,11,10.4,0.86,-2.91,1.08,0.16,-0.11,36.53,3.0,
182,216,168,12,10.36,0.98,-2.96,1.08,0.18,-0.13,36.39,3.0,
182,216,168,13,10.33,0.86,-2.86,1.08,0.21,-0.15,36.58,3.0,
182,216,168,14,10.37,0.96,-3.05,1.09,0.24,-0.17,36.39,3.0,
182,216,168,15,10.4,1.06,-2.85,1.1,0.26,-0.19,36.53,3.0,
182,216,168,16,10.33,0.98,-2.92,1.12,0.29,-0.21,36.53,3.0,
182,216,168,17,10.33,1.09,-2.95,1.12,0.31,-0.23,36.53,3.0,
182,216,168,18,10.28,1.11,-2.85,1.14,0.34,-0.25,36.58,3.0,
182,216,168,19,10.26,1.11,-2.94,1.15,0.37,-0.26,36.48,3.0,
183,233,172,0,9.84,0.85,-1.81,-0.24,-0.27,0.02,36.48,3.0,
183,233,172,1,9.85,0.81,-1.93,-0.22,-0.27,0.01,36.48,3.0,
183,233,172,2,9.94,0.78,-2.06,-0.2,-0.26,0.0,36.58,3.0,
183,233,172,3,9.87,0.77,-2.16,-0.18,-0.25,-0.01,36.48,3.0,
183,233,172,4,9.91,0.79,-2.21,-0.15,-0.25,-0.01,36.44,3.0,
183,233,172,5,9.81,0.73,-2.34,-0.13,-0.23,-0.01,36.44,3.0,
183,233,172,6,9.81,0.82,-2.38,-0.11,-0.22,-0.02,36.58,3.0,
183,233,172,7,9.83,0.78,-2.46,-0.09,-0.2,-0.02,36.48,3.0,
183,233,172,8,9.82,0.8,-2.57,-0.06,-0.18,-0.03,36.48,3.0,
183,233,172,9,9.78,0.89,-2.56,-0.03,-0.16,-0.02,36.48,3.0,
183,233,172,10,9.82,0.89,-2.66,-0.0,-0.14,-0.02,36.53,3.0,
183,233,172,11,9.84,0.99,-2.55,0.03,-0.12,-0.02,36.53,3.0,
183,233,172,12,9.84,0.98,-2.61,0.05,-0.1,-0.02,36.53,3.0,
183,233,172,13,9.87,0.97,-2.53,0.09,-0.07,-0.01,36.58,3.0,
183,233,172,14,9.87,1.02,-2.61,0.12,-0.05,-0.01,36.39,3.0,
183,233,172,15,9.9,1.09,-2.63,0.15,-0.03,0.0,36.58,3.0,
183,233,172,16,9.96,1.13,-2.56,0.18,-0.01,0.02,36.48,3.0,
183,233,172,17,10.02,1.07,-2.52,0.21,0.0,0.02,36.53,3.0,
183,233,172,18,10.06,1.18,-2.43,0.24,0.02,0.03,36.53,3.0,
