accounter,LoopSpeedArr,UploadSpeedArr,set_index,Ax,Ay,Az,gx,gy,gz,temp,timingForThisSet,timeDifference
113,262,165,0,10.11,0.25,0.13,1.66,-0.12,0.07,36.44,4.0,
113,262,165,1,10.07,0.26,0.09,1.67,-0.13,0.08,36.48,3.0,
113,262,165,2,10.14,0.32,-0.02,1.68,-0.15,0.08,36.48,3.0,
113,262,165,3,10.11,0.3,-0.02,1.68,-0.17,0.09,36.53,3.0,
113,262,165,4,10.2,0.33,-0.05,1.69,-0.17,0.09,36.53,2.0,
113,262,165,5,10.17,0.28,-0.07,1.69,-0.18,0.1,36.48,2.0,
113,262,165,6,10.13,0.3,-0.16,1.69,-0.19,0.1,36.48,2.0,
113,262,165,7,10.19,0.37,-0.33,1.68,-0.19,0.11,36.48,3.0,
113,262,165,8,10.23,0.34,-0.32,1.68,-0.19,0.11,36.48,3.0,
113,262,165,9,10.22,0.29,-0.47,1.67,-0.19,0.11,36.48,3.0,
113,262,165,10,10.19,0.3,-0.59,1.67,-0.19,0.12,36.53,3.0,
113,262,165,11,10.26,0.32,-0.53,1.66,-0.19,0.12,36.44,3.0,
113,262,165,12,10.26,0.29,-0.7,1.65,-0.18,0.12,36.53,3.0,
113,262,165,13,10.3,0.25,-0.72,1.65,-0.18,0.13,36.53,3.0,
113,262,165,14,10.27,0.31,-0.78,1.63,-0.18,0.13,36.48,3.0,
113,262,165,15,10.31,0.27,-0.84,1.62,-0.16,0.13,36.58,3.0,
113,262,165,16,10.3,0.33,-0.94,1.6,-0.16,0.13,36.48,3.0,
113,262,165,17,10.33,0.29,-1.1,1.58,-0.15,0.13,36.48,3.0,
113,262,165,18,10.35,0.39,-1.08,1.57,-0.13,0.14,36.44,3.0,
113,262,165,19,10.33,0.25,-1.17,1.55,-0.12,0.14,36.53,3.0,
114,226,165,0,10.11,0.25,0.13,1.66,-0.12,0.07,36.44,4.0,
114,226,165,1,10.07,0.26,0.09,1.67,-0.13,0.08,36.48,3.0,
114,226,165,2,10.14,0.32,-0.02,1.68,-0.15,0.08,36.48,3.0,
114,226,165,3,10.11,0.3,-0.02,1.68,-0.17,0.09,36.53,3.0,
114,226,165,4,10.2,0.33,-0.05,1.69,-0.17,0.09,36.53,2.0,
114,226,165,5,10.17,0.28,-0.07,1.69,-0.18,0.1,36.48,2.0,
114,226,165,6,10.13,0.3,-0.16,1.69,-0.19,0.1,36.48,2.0,
114,226,165,7,10.19,0.37,-0.33,1.68,-0.19,0.11,36.48,3.0,
