accounter,LoopSpeedArr,UploadSpeedArr,set_index,Ax,Ay,Az,gx,gy,gz,temp,timingForThisSet,timeDifference
372,240,178,0,9.97,0.86,-1.51,-0.28,0.14,0.11,36.01,3.0,
372,240,178,1,9.99,0.84,-1.51,-0.29,0.14,0.11,36.06,3.0,
372,240,178,2,10.07,0.87,-1.44,-0.31,0.15,0.11,35.97,3.0,
372,240,178,3,10.07,1.02,-1.41,-0.33,0.16,0.11,36.06,3.0,
372,240,178,4,10.15,0.95,-1.33,-0.36,0.16,0.12,35.97,3.0,
372,240,178,5,10.16,0.88,-1.28,-0.39,0.17,0.13,36.01,3.0,
372,240,178,6,10.23,0.9,-1.34,-0.42,0.18,0.14,36.01,3.0,
372,240,178,7,10.23,0.78,-1.12,-0.46,0.19,0.14,36.01,3.0,
372,240,178,8,10.2,0.67,-1.13,-0.49,0.2,0.15,36.01,3.0,
372,240,178,9,10.28,0.64,-0.9,-0.53,0.21,0.16,36.01,3.0,
372,240,178,10,10.25,0.51,-0.85,-0.56,0.21,0.16,35.97,3.0,
372,240,178,11,10.23,0.39,-0.6,-0.59,0.21,0.16,36.06,2.0,
372,240,178,12,10.28,0.28,-0.36,-0.62,0.2,0.15,36.06,2.0,
372,240,178,13,10.3,0.22,-0.4,-0.65,0.2,0.15,36.01,3.0,
372,240,178,14,10.28,0.09,-0.15,-0.68,0.19,0.15,36.01,3.0,
372,240,178,15,10.26,0.02,-0.08,-0.7,0.19,0.14,36.01,3.0,
372,240,178,16,10.32,-0.09,0.16,-0.72,0.18,0.14,35.92,3.0,
372,240,178,17,10.34,-0.23,0.19,-0.74,0.16,0.13,36.01,3.0,
372,240,178,18,10.46,-0.31,0.27,-0.75,0.15,0.12,36.06,3.0,
372,240,178,19,10.41,-0.46,0.54,-0.77,0.14,0.11,35.97,3.0,
373,240,178,0,9.97,0.86,-1.51,-0.28,0.14,0.11,36.01,3.0,
373,240,178,1,9.99,0.84,-1.51,-0.29,0.14,0.11,36.06,3.0,
373,240,178,2,10.07,0.87,-1.44,-0.31,0.15,0.11,35.97,3.0,
373,240,178,3,10.07,1.02,-1.41,-0.33,0.16,0.11,36.06,3.0,
373,240,178,4,10.15,0.95,-1.33,-0.36,0.16,0.12,35.97,3.0,
373,240,178,5,10.16,0.88,-1.28,-0.39,0.17,0.13,36.01,3.0,
373,240,178,6,10.23,0.9,-1.34,-0.42,0.18,0.14,36.01,3.0,
373,240,178,7,10.23,0.78,-1.12,-0.46,0.19,0.14,36.01,3.0,
373,240,178,8,10.2,0.67,-1.13,-0.49,0.2,0.15,36.01,3.0,
373,240,178,9,10.28,0.64,-0.9,-0.53,0.21,0.16,36.01,3.0,
373,240,178,10,10.25,0.51,-0.85,-0.56,0.21,0.16,35.97,3.0,
373,240,178,11,10.23,0.39,-0.6,-0.59,0.21,0.16,36.06,2.0,
373,240,178,12,10.28,0.28,-0.36,-0.62,0.2,0.15,36.06,2.0,
373,240,178,13,10.3,0.22,-0.4,-0.65,0.2,0.15,36.01,3.0,
373,240,178,14,10.28,0.09,-0.15,-0.68,0.19,0.15,36.01,3.0,
373,240,178,15,10.26,0.02,-0.08,-0.7,0.19,0.14,36.01,3.0,
373,240,178,16,10.32,-0.09,0.16,-0.72,0.18,0.14,35.92,3.0,
373,240,178,17,10.34,-0.23,0.19,-0.74,0.16,0.13,36.01,3.0,
373,240,178,18,10.46,-0.31,0.27,-0.75,0.15,0.12,36.06,3.0,
373,240,178,19,10.41,-0.46,0.54,-0.77,0.14,0.11,35.97,3.0,
374,245,182,0,9.9,-0.57,-1.02,-0.47,-0.12,-0.09,36.11,3.0,
374,245,182,1,9.98,-0.55,-1.06,-0.46,-0.09,-0.11,36.06,3.0,
374,245,182,2,10.08,-0.44,-1.05,-0.45,-0.05,-0.13,36.06,3.0,
374,245,182,3,10.06,-0.4,-0.98,-0.45,-0.02,-0.15,36.01,3.0,
374,245,182,4,10.06,-0.7,-1.04,-0.44,0.02,-0.18,36.01,3.0,
374,245,182,5,10.18,-0.59,-1.16,-0.43,0.05,-0.21,36.01,3.0,
374,245,182,6,10.19,-0.36,-0.99,-0.42,0.08,-0.23,36.01,3.0,
374,245,182,7,10.12,-0.41,-0.98,-0.4,0.11,-0.26,36.01,3.0,
374,245,182,8,10.21,-0.22,-0.86,-0.38,0.15,-0.26,36.01,3.0,
374,245,182,9,10.23,-0.03,-0.79,-0.36,0.17,-0.26,36.06,3.0,
374,245,182,10,10.29,0.05,-0.66,-0.33,0.19,-0.26,36.06,3.0,
