accounter,LoopSpeedArr,UploadSpeedArr,set_index,Ax,Ay,Az,gx,gy,gz,temp,timingForThisSet,timeDifference
10822,258,197,0,10.2,1.84,-1.47,-0.46,0.09,-0.01,35.92,3.0,
10822,258,197,1,10.12,1.84,-1.45,-0.46,0.08,-0.02,35.97,3.0,
10822,258,197,2,10.16,1.92,-1.33,-0.47,0.07,-0.03,36.01,3.0,
10822,258,197,3,10.12,1.87,-1.3,-0.48,0.06,-0.04,35.92,3.0,
10822,258,197,4,10.15,1.83,-1.29,-0.49,0.05,-0.05,36.01,3.0,
10822,258,197,5,10.12,1.84,-1.32,-0.5,0.04,-0.06,35.92,3.0,
10822,258,197,6,10.12,1.89,-1.34,-0.51,0.03,-0.07,35.97,3.0,
10822,258,197,7,10.06,1.86,-1.32,-0.51,0.02,-0.08,36.06,3.0,
10822,258,197,8,10.03,1.85,-1.36,-0.53,0.01,-0.09,35.97,3.0,
10822,258,197,9,9.97,1.86,-1.27,-0.54,0.0,-0.1,36.01,3.0,
10822,258,197,10,9.94,1.85,-1.41,-0.55,-0.01,-0.11,36.01,3.0,
10822,258,197,11,9.9,1.91,-1.28,-0.55,-0.01,-0.12,36.01,3.0,
10822,258,197,12,9.87,1.96,-1.37,-0.55,-0.02,-0.12,35.92,3.0,
10822,258,197,13,9.9,1.94,-1.38,-0.55,-0.03,-0.13,36.01,3.0,
10822,258,197,14,9.87,1.95,-1.4,-0.55,-0.03,-0.13,36.01,3.0,
10822,258,197,15,9.83,1.99,-1.4,-0.54,-0.03,-0.13,36.01,3.0,
10822,258,197,16,9.73,2.06,-1.51,-0.53,-0.03,-0.12,35.97,3.0,
10822,258,197,17,9.74,2.12,-1.58,-0.52,-0.04,-0.11,35.97,3.0,
10822,258,197,18,9.78,2.15,-1.63,-0.5,-0.04,-0.1,35.97,3.0,
10822,258,197,19,9.8,2.17,-1.66,-0.48,-0.04,-0.08,35.97,3.0,
10823,229,168,0,10.2,1.84,-1.47,-0.46,0.09,-0.01,35.92,3.0,
10823,229,168,1,10.12,1.84,-1.45,-0.46,0.08,-0.02,35.97,3.0,
10823,229,168,2,10.16,1.92,-1.33,-0.47,0.07,-0.03,36.01,3.0,
10823,229,168,3,10.12,1.87,-1.3,-0.48,0.06,-0.04,35.92,3.0,
10823,229,168,4,10.15,1.83,-1.29,-0.49,0.05,-0.05,36.01,3.0,
10823,229,168,5,10.12,1.84,-1.32,-0.5,0.04,-0.06,35.92,3.0,
10823,229,168,6,10.12,1.89,-1.34,-0.51,0.03,-0.07,35.97,3.0,
10823,229,168,7,10.06,1.86,-1.32,-0.51,0.02,-0.08,36.06,3.0,
10823,229,168,8,10.03,1.85,-1.36,-0.53,0.01,-0.09,35.97,3.0,
10823,229,168,9,9.97,1.86,-1.27,-0.54,0.0,-0.1,36.01,3.0,
10823,229,168,10,9.94,1.85,-1.41,-0.55,-0.01,-0.11,36.01,3.0,
10823,229,168,11,9.9,1.91,-1.28,-0.55,-0.01,-0.12,36.01,3.0,
10823,229,168,12,9.87,1.96,-1.37,-0.55,-0.02,-0.12,35.92,3.0,
10823,229,168,13,9.9,1.94,-1.38,-0.55,-0.03,-0.13,36.01,3.0,
10823,229,168,14,9.87,1.95,-1.4,-0.55,-0.03,-0.13,36.01,3.0,
10823,229,168,15,9.83,1.99,-1.4,-0.54,-0.03,-0.13,36.01,3.0,
10823,229,168,16,9.73,2.06,-1.51,-0.53,-0.03,-0.12,35.97,3.0,
10823,229,168,17,9.74,2.12,-1.58,-0.52,-0.04,-0.11,35.97,3.0,
10823,229,168,18,9.78,2.15,-1.63,-0.5,-0.04,-0.1,35.97,3.0,
10823,229,168,19,9.8,2.17,-1.66,-0.48,-0.04,-0.08,35.97,3.0,
10824,232,171,0,10.87,-2.4,0.23,-4.33,-1.36,0.73,36.01,4.0,
10824,232,171,1,11.39,-2.98,-0.96,-3.82,-1.22,0.72,36.06,3.0,
10824,232,171,2,11.68,-3.28,-1.79,-3.34,-1.03,0.71,35.87,3.0,
10824,232,171,3,11.96,-3.32,-2.08,-2.89,-0.8,0.71,35.97,3.0,
10824,232,171,4,12.07,-3.73,-1.97,-2.47,-0.63,0.7,36.01,3.0,
10824,232,171,5,12.15,-3.75,-1.84,-2.08,-0.45,0.69,36.01,2.0,
10824,232,171,6,12.21,-3.44,-1.81,-1.74,-0.28,0.68,35.92,2.0,
10824,232,171,7,11.95,-3.66,-1.42,-1.43,-0.15,0.67,35.92,3.0,
10824,232,171,8,11.96,-3.46,-1.45,-1.17,-0.03,0.66,36.01,3.0,
10824,232,171,9,11.55,-3.35,-0.88,-0.95,0.04,0.65,35.97,3.0,
10824,232,171,10,11.3,-3.28,-0.95,-0.77,0.13,0.63,35.97,3.0,
10824,232,171,11,11.0,-3.61,-0.97,-0.61,0.16,0.59,35.97,3.0,
10824,232,171,12,10.81,-3.38,-0.81,-0.48,0.2,0.55,35.97,3.0,
10824,232,171,13,10.56,-3.37,-0.97,-0.37,0.23,0.5,35.92,3.0,
10824,232,171,14,10.24,-3.23,-0.96,-0.28,0.24,0.45,36.01,3.0,
10824,232,171,15,10.01,-3.31,-1.25,-0.19,0.26,0.39,35.92,3.0,
10824,232,171,16,9.84,-3.09,-1.52,-0.12,0.29,0.33,36.06,3.0,
10824,232,171,17,9.7,-2.83,-1.61,-0.05,0.31,0.26,35.97,3.0,
10824,232,171,18,9.59,-2.83,-1.75,0.0,0.34,0.19,35.97,3.0,
10824,232,171,19,9.4,-2.57,-1.84,0.04,0.35,0.13,35.87,3.0,
10825,228,167,0,10.18,1.72,1.91,0.71,-0.07,-0.26,36.01,3.0,
10825,228,167,1,10.3,1.66,1.47,0.69,-0.14,-0.24,35.97,3.0,
10825,228,167,2,10.4,1.67,1.0,0.67,-0.21,-0.23,35.97,3.0,
10825,228,167,3,10.42,1.52,0.58,0.66,-0.26,-0.23,36.06,3.0,
10825,228,167,4,10.49,1.49,-0.02,0.65,-0.29,-0.22,35.92,3.0,
