accounter,LoopSpeedArr,UploadSpeedArr,set_index,Ax,Ay,Az,gx,gy,gz,temp,timingForThisSet,timeDifference
257,220,158,0,10.62,1.32,-4.49,-0.82,-0.44,-0.57,36.34,4.0,
257,220,158,1,10.58,1.39,-4.51,-0.79,-0.37,-0.55,36.29,2.0,
257,220,158,2,10.57,1.42,-4.47,-0.77,-0.31,-0.52,36.2,2.0,
257,220,158,3,10.59,1.44,-4.58,-0.74,-0.25,-0.5,36.25,2.0,
257,220,158,4,10.5,1.43,-4.36,-0.71,-0.18,-0.47,36.25,3.0,
257,220,158,5,10.56,1.51,-4.36,-0.68,-0.11,-0.44,36.25,3.0,
257,220,158,6,10.51,1.47,-4.36,-0.65,-0.06,-0.41,36.25,3.0,
257,220,158,7,10.48,1.43,-4.26,-0.62,-0.0,-0.38,36.25,3.0,
257,220,158,8,10.5,1.51,-4.16,-0.59,0.06,-0.35,36.25,3.0,
257,220,158,9,10.54,1.6,-4.11,-0.55,0.1,-0.32,36.2,3.0,
257,220,158,10,10.54,1.44,-3.98,-0.52,0.15,-0.29,36.29,3.0,
257,220,158,11,10.58,1.46,-3.95,-0.49,0.19,-0.26,36.39,3.0,
257,220,158,12,10.66,1.42,-3.79,-0.47,0.24,-0.23,36.29,3.0,
257,220,158,13,10.66,1.39,-3.55,-0.44,0.26,-0.21,36.29,3.0,
257,220,158,14,10.74,1.39,-3.42,-0.42,0.3,-0.19,36.29,3.0,
257,220,158,15,10.74,1.35,-3.22,-0.4,0.32,-0.17,36.25,3.0,
257,220,158,16,10.7,1.29,-3.13,-0.38,0.34,-0.14,36.25,3.0,
257,220,158,17,10.76,1.22,-3.16,-0.37,0.35,-0.13,36.25,3.0,
257,220,158,18,10.73,1.22,-2.97,-0.36,0.36,-0.11,36.25,3.0,
257,220,158,19,10.81,1.17,-2.75,-0.34,0.36,-0.1,36.25,3.0,
258,224,162,0,10.62,1.32,-4.49,-0.82,-0.44,-0.57,36.34,4.0,
258,224,162,1,10.58,1.39,-4.51,-0.79,-0.37,-0.55,36.29,2.0,
258,224,162,2,10.57,1.42,-4.47,-0.77,-0.31,-0.52,36.2,2.0,
258,224,162,3,10.59,1.44,-4.58,-0.74,-0.25,-0.5,36.25,2.0,
258,224,162,4,10.5,1.43,-4.36,-0.71,-0.18,-0.47,36.25,3.0,
258,224,162,5,10.56,1.51,-4.36,-0.68,-0.11,-0.44,36.25,3.0,
258,224,162,6,10.51,1.47,-4.36,-0.65,-0.06,-0.41,36.25,3.0,
258,224,162,7,10.48,1.43,-4.26,-0.62,-0.0,-0.38,36.25,3.0,
258,224,162,8,10.5,1.51,-4.16,-0.59,0.06,-0.35,36.25,3.0,
258,224,162,9,10.54,1.6,-4.11,-0.55,0.1,-0.32,36.2,3.0,
258,224,162,10,10.54,1.44,-3.98,-0.52,0.15,-0.29,36.29,3.0,
258,224,162,11,10.58,1.46,-3.95,-0.49,0.19,-0.26,36.39,3.0,
258,224,162,12,10.66,1.42,-3.79,-0.47,0.24,-0.23,36.29,3.0,
258,224,162,13,10.66,1.39,-3.55,-0.44,0.26,-0.21,36.29,3.0,
258,224,162,14,10.74,1.39,-3.42,-0.42,0.3,-0.19,36.29,3.0,
258,224,162,15,10.74,1.35,-3.22,-0.4,0.32,-0.17,36.25,3.0,
258,224,162,16,10.7,1.29,-3.13,-0.38,0.34,-0.14,36.25,3.0,
258,224,162,17,10.76,1.22,-3.16,-0.37,0.35,-0.13,36.25,3.0,
258,224,162,18,10.73,1.22,-2.97,-0.36,0.36,-0.11,36.25,3.0,
258,224,162,19,10.81,1.17,-2.75,-0.34,0.36,-0.1,36.25,3.0,
259,241,179,0,9.39,0.44,0.29,-3.13,-0.86,-0.16,36.29,3.0,
259,241,179,1,9.33,0.67,-0.17,-3.14,-0.96,-0.18,36.25,3.0,
259,241,179,2,9.23,0.54,0.19,-3.15,-1.05,-0.19,36.2,3.0,
259,241,179,3,9.25,0.7,-0.04,-3.15,-1.13,-0.2,36.29,3.0,
259,241,179,4,9.49,0.85,-0.22,-3.15,-1.21,-0.2,36.29,3.0,
259,241,179,5,9.41,1.0,-0.34,-3.15,-1.29,-0.21,36.2,3.0,
259,241,179,6,9.42,1.08,-0.34,-3.14,-1.37,-0.2,36.29,3.0,
259,241,179,7,9.36,1.07,-0.5,-3.13,-1.44,-0.2,36.29,3.0,
259,241,179,8,9.39,1.22,-0.64,-3.12,-1.51,-0.19,36.2,3.0,
259,241,179,9,9.42,1.25,-0.74,-3.1,-1.57,-0.19,36.29,3.0,
259,241,179,10,9.4,1.22,-0.87,-3.1,-1.63,-0.18,36.29,3.0,
259,241,179,11,9.33,1.16,-1.01,-3.08,-1.68,-0.18,36.25,3.0,
259,241,179,12,9.28,1.25,-1.11,-3.07,-1.73,-0.17,36.25,3.0,
259,241,179,13,9.3,1.28,-1.31,-3.05,-1.78,-0.17,36.25,3.0,
259,241,179,14,9.21,1.27,-1.49,-3.04,-1.81,-0.16,36.25,3.0,
259,241,179,15,9.17,1.31,-1.72,-3.02,-1.84,-0.15,36.25,3.0,
259,241,179,16,9.15,1.3,-2.01,-3.0,-1.86,-0.14,36.34,3.0,
259,241,179,17,9.13,1.3,-2.08,-2.98,-1.87,-0.13,36.25,2.0,
259,241,179,18,9.09,1.26,-2.36,-2.97,-1.88,-0.12,36.25,2.0,
259,241,179,19,9.14,1.21,-2.26,-2.95,-1.89,-0.11,36.25,2.0,
260,266,204,0,9.56,-2.65,-4.23,-1.82,0.73,-0.03,36.2,3.0,
260,266,204,1,9.43,-2.63,-4.02,-1.74,0.82,-0.08,36.34,3.0,
260,266,204,2,9.41,-2.6,-3.9,-1.66,0.89,-0.13,36.29,3.0,
260,266,204,3,9.18,-2.66,-3.56,-1.55,0.95,-0.17,36.29,3.0,
260,266,204,4,9.16,-2.74,-3.36,-1.43,1.02,-0.21,36.29,3.0,
260,266,204,5,9.16,-2.45,-2.89,-1.32,1.08,-0.24,36.2,3.0,
260,266,204,6,8.96,-2.48,-2.52,-1.17,1.11,-0.27,36.2,3.0,
260,266,204,7,9.05,-2.47,-2.34,-1.03,1.16,-0.31,36.2,3.0,
260,266,204,8,8.94,-2.55,-1.63,-0.87,1.16,-0.34,36.29,3.0,
260,266,204,9,9.03,-2.5,-1.74,-0.72,1.19,-0.37,36.2,3.0,
260,266,204,10,8.92,-2.39,-1.13,-0.56,1.19,-0.39,36.29,3.0,
260,266,204,11,8.93,-2.04,-0.74,-0.4,1.17,-0.42,36.29,3.0,
260,266,204,12,9.14,-2.12,-1.13,-0.23,1.16,-0.45,36.29,3.0,
