,accounter,LoopSpeedArr,UploadSpeedArr,gps_info,set_index,Ax,Ay,Az,gx,gy,gz,temp,timingForThisSet,timeDifference
0,266,168,108,{'Button': {'on': 'On'}},0,1.78,1.20,-10.21,-0.01,0.04,0.01,30.41,3.00,
1,266,168,108,{'Button': {'on': 'On'}},1,1.80,1.30,-10.28,-0.01,0.03,0.00,30.32,3.00,
2,266,168,108,{'Button': {'on': 'On'}},2,1.80,1.20,-10.23,-0.01,0.03,0.00,30.32,3.00,
3,266,168,108,{'Button': {'on': 'On'}},3,1.82,1.23,-10.27,-0.00,0.03,0.00,30.32,3.00,
4,266,168,108,{'Button': {'on': 'On'}},4,1.81,1.17,-10.24,-0.00,0.03,0.00,30.37,3.00,
5,266,168,108,{'Button': {'on': 'On'}},5,1.83,1.24,-10.17,-0.00,0.02,0.00,30.37,3.00,
6,266,168,108,{'Button': {'on': 'On'}},6,1.83,1.20,-10.28,-0.00,0.02,0.00,30.32,3.00,
7,266,168,108,{'Button': {'on': 'On'}},7,1.82,1.18,-10.16,-0.00,0.01,0.00,30.41,3.00,
8,266,168,108,{'Button': {'on': 'On'}},8,1.79,1.18,-10.26,-0.00,0.01,-0.00,30.46,3.00,
9,266,168,108,{'Button': {'on': 'On'}},9,1.84,1.11,-10.27,-0.00,0.00,0.00,30.37,3.00,
10,266,168,108,{'Button': {'on': 'On'}},10,1.80,1.21,-10.17,0.00,-0.00,0.00,30.51,3.00,
11,266,168,108,{'Button': {'on': 'On'}},11,1.81,1.11,-10.30,0.00,-0.01,0.00,30.22,3.00,
12,266,168,108,{'Button': {'on': 'On'}},12,1.88,1.10,-10.20,-0.00,-0.01,0.00,30.46,2.00,
13,266,168,108,{'Button': {'on': 'On'}},13,1.87,1.13,-10.32,-0.00,-0.02,-0.00,30.27,2.00,
14,266,168,108,{'Button': {'on': 'On'}},14,1.84,1.13,-10.24,-0.00,-0.02,0.00,30.41,3.00,
15,266,168,108,{'Button': {'on': 'On'}},15,1.86,1.07,-10.25,-0.00,-0.03,-0.00,30.41,3.00,
16,266,168,108,{'Button': {'on': 'On'}},16,1.83,1.11,-10.20,-0.00,-0.03,-0.00,30.27,3.00,
17,266,168,108,{'Button': {'on': 'On'}},17,1.85,1.13,-10.16,-0.00,-0.03,-0.00,30.37,3.00,
18,266,168,108,{'Button': {'on': 'On'}},18,1.87,1.22,-10.22,-0.00,-0.04,-0.00,30.41,3.00,
19,266,168,108,{'Button': {'on': 'On'}},19,1.80,1.07,-10.30,-0.00,-0.04,-0.01,30.32,3.00,
20,265,168,108,{'Button': {'on': 'On'}},0,2.03,1.55,-8.59,-0.17,0.05,-0.01,30.41,3.00,
21,265,168,108,{'Button': {'on': 'On'}},1,1.93,1.63,-8.52,-0.12,0.01,-0.01,30.37,3.00,
22,265,168,108,{'Button': {'on': 'On'}},2,1.84,1.60,-8.28,-0.05,-0.00,-0.01,30.37,3.00,
23,265,168,108,{'Button': {'on': 'On'}},3,1.96,1.65,-8.49,0.01,-0.03,-0.01,30.41,3.00,
24,265,168,108,{'Button': {'on': 'On'}},4,1.94,1.75,-8.52,0.07,-0.05,-0.01,30.41,3.00,
25,265,168,108,{'Button': {'on': 'On'}},5,1.89,1.54,-8.44,0.13,-0.07,-0.01,30.37,3.00,
26,265,168,108,{'Button': {'on': 'On'}},6,1.96,1.62,-8.93,0.18,-0.09,-0.00,30.32,3.00,
27,265,168,108,{'Button': {'on': 'On'}},7,2.02,1.51,-9.20,0.22,-0.11,-0.01,30.41,2.00,
28,265,168,108,{'Button': {'on': 'On'}},8,2.05,1.36,-9.32,0.25,-0.14,-0.01,30.46,2.00,
29,265,168,108,{'Button': {'on': 'On'}},9,2.00,1.25,-9.64,0.28,-0.17,-0.02,30.37,3.00,
30,265,168,108,{'Button': {'on': 'On'}},10,1.97,1.33,-9.81,0.30,-0.18,-0.02,30.22,3.00,
31,265,168,108,{'Button': {'on': 'On'}},11,2.01,1.36,-9.98,0.31,-0.21,-0.02,30.32,3.00,
32,265,168,108,{'Button': {'on': 'On'}},12,1.93,1.36,-10.25,0.32,-0.22,-0.02,30.32,3.00,
33,265,168,108,{'Button': {'on': 'On'}},13,1.93,1.24,-10.26,0.32,-0.23,-0.02,30.37,3.00,
34,265,168,108,{'Button': {'on': 'On'}},14,1.92,1.29,-10.34,0.32,-0.25,-0.03,30.37,3.00,
35,265,168,108,{'Button': {'on': 'On'}},15,1.95,1.21,-10.42,0.31,-0.26,-0.03,30.32,3.00,
36,265,168,108,{'Button': {'on': 'On'}},16,1.92,1.21,-10.47,0.30,-0.26,-0.03,30.22,3.00,
37,265,168,108,{'Button': {'on': 'On'}},17,1.93,1.12,-10.52,0.29,-0.27,-0.03,30.41,3.00,
38,265,168,108,{'Button': {'on': 'On'}},18,1.86,1.18,-10.78,0.27,-0.27,-0.04,30.37,3.00,
39,265,168,108,{'Button': {'on': 'On'}},19,1.87,1.14,-10.73,0.25,-0.27,-0.04,30.37,3.00,
40,264,180,120,{'Button': {'on': 'On'}},0,-1.81,-0.40,-13.23,1.90,2.26,1.13,30.32,3.00,
41,264,180,120,{'Button': {'on': 'On'}},1,-0.58,0.30,-15.86,1.81,2.52,1.18,30.41,3.00,
42,264,180,120,{'Button': {'on': 'On'}},2,-2.86,1.78,-19.01,1.35,2.42,1.24,30.27,3.00,
43,264,180,120,{'Button': {'on': 'On'}},3,-2.45,0.72,-16.22,1.30,2.32,1.31,30.41,3.00,
44,264,180,120,{'Button': {'on': 'On'}},4,-0.06,0.27,-19.61,1.09,2.61,1.32,30.41,3.00,
45,264,180,120,{'Button': {'on': 'On'}},5,-1.73,1.02,-18.62,0.80,2.56,1.33,30.41,3.00,
46,264,180,120,{'Button': {'on': 'On'}},6,-1.54,2.62,-19.61,0.12,2.82,1.36,30.37,3.00,
47,264,180,120,{'Button': {'on': 'On'}},7,-3.56,2.77,-19.61,-0.51,2.38,1.46,30.27,3.00,
48,264,180,120,{'Button': {'on': 'On'}},8,-0.72,1.89,-19.61,-1.34,3.17,1.54,30.32,3.00,
49,264,180,120,{'Button': {'on': 'On'}},9,-3.06,3.19,-19.61,-2.48,2.87,1.59,30.37,3.00,
50,264,180,120,{'Button': {'on': 'On'}},10,-2.73,0.38,-19.61,-3.71,2.28,1.59,30.37,2.00,
51,264,180,120,{'Button': {'on': 'On'}},11,-1.14,-1.54,-19.61,-4.37,2.15,1.56,30.32,2.00,
52,264,180,120,{'Button': {'on': 'On'}},12,-1.10,-2.06,-19.61,-4.37,1.58,1.48,30.41,3.00,
53,264,180,120,{'Button': {'on': 'On'}},13,0.49,-2.01,-19.61,-4.37,1.12,1.39,30.32,3.00,
54,264,180,120,{'Button': {'on': 'On'}},14,2.10,-1.86,-14.90,-4.37,0.91,1.29,30.27,3.00,
55,264,180,120,{'Button': {'on': 'On'}},15,3.12,-1.69,-9.54,-4.37,0.59,1.19,30.37,3.00,
56,264,180,120,{'Button': {'on': 'On'}},16,3.24,-1.50,-5.42,-4.37,0.65,1.04,30.32,3.00,
57,264,180,120,{'Button': {'on': 'On'}},17,4.30,-1.30,-5.45,-4.37,0.74,0.89,30.32,3.00,
58,264,180,120,{'Button': {'on': 'On'}},18,3.38,-1.03,-3.96,-4.37,0.77,0.75,30.32,3.00,
59,264,180,120,{'Button': {'on': 'On'}},19,4.05,-0.87,-5.71,-4.37,0.71,0.62,30.37,3.00,
60,263,1640,1580,{'Button': {'on': 'On'}},0,-4.49,6.47,2.88,-3.12,-1.63,-0.78,30.37,3.00,
61,263,1640,1580,{'Button': {'on': 'On'}},1,-3.95,6.82,2.87,-3.05,-1.55,-0.75,30.41,3.00,
62,263,1640,1580,{'Button': {'on': 'On'}},2,-3.31,6.85,3.22,-2.96,-1.46,-0.72,30.37,3.00,
63,263,1640,1580,{'Button': {'on': 'On'}},3,-3.03,7.00,3.55,-2.89,-1.35,-0.70,30.37,3.00,
64,263,1640,1580,{'Button': {'on': 'On'}},4,-3.35,7.02,3.51,-2.80,-1.25,-0.67,30.41,3.00,
65,263,1640,1580,{'Button': {'on': 'On'}},5,-3.82,7.58,2.08,-2.73,-1.05,-0.60,30.32,2.00,
66,263,1640,1580,{'Button': {'on': 'On'}},6,-4.23,6.83,3.30,-2.67,-0.86,-0.55,30.37,3.00,
67,263,1640,1580,{'Button': {'on': 'On'}},7,-4.56,7.04,2.53,-2.59,-0.66,-0.48,30.32,3.00,
68,263,1640,1580,{'Button': {'on': 'On'}},8,-4.90,7.15,2.43,-2.53,-0.45,-0.40,30.22,3.00,
69,263,1640,1580,{'Button': {'on': 'On'}},9,-5.42,7.06,3.17,-2.45,-0.31,-0.32,30.32,3.00,
70,263,1640,1580,{'Button': {'on': 'On'}},10,-5.75,7.05,3.14,-2.38,-0.17,-0.24,30.37,3.00,
71,263,1640,1580,{'Button': {'on': 'On'}},11,-6.34,7.12,3.17,-2.31,-0.05,-0.15,30.37,3.00,
72,263,1640,1580,{'Button': {'on': 'On'}},12,-6.77,7.00,3.40,-2.25,0.06,-0.06,30.41,3.00,
73,263,1640,1580,{'Button': {'on': 'On'}},13,-7.87,7.01,4.21,-2.18,0.10,0.03,30.32,3.00,
74,263,1640,1580,{'Button': {'on': 'On'}},14,-8.12,6.00,3.92,-2.11,0.15,0.08,30.46,3.00,
75,263,1640,1580,{'Button': {'on': 'On'}},15,-15.30,7.01,7.78,-2.01,-0.07,0.24,30.37,3.00,
76,263,1640,1580,{'Button': {'on': 'On'}},16,-19.61,7.05,7.83,-1.89,-0.65,0.55,30.41,3.00,
77,263,1640,1580,{'Button': {'on': 'On'}},17,-14.55,6.46,5.76,-1.71,-0.73,0.64,30.32,3.00,
78,263,1640,1580,{'Button': {'on': 'On'}},18,-9.38,5.52,4.40,-1.58,-0.60,0.70,30.37,3.00,
79,263,1640,1580,{'Button': {'on': 'On'}},19,-9.91,7.64,5.31,-1.51,-0.57,0.74,30.46,3.00,
80,262,188,126,{'Button': {'on': 'On'}},0,-13.34,6.93,-8.20,0.14,2.07,1.94,30.37,3.00,
81,262,188,126,{'Button': {'on': 'On'}},1,-13.00,6.90,-8.31,0.03,1.97,2.00,30.32,2.00,
82,262,188,126,{'Button': {'on': 'On'}},2,-12.42,6.91,-8.82,-0.07,1.89,2.04,30.41,3.00,
83,262,188,126,{'Button': {'on': 'On'}},3,-11.94,6.70,-8.38,-0.17,1.81,2.06,30.37,3.00,
84,262,188,126,{'Button': {'on': 'On'}},4,-11.48,6.45,-8.58,-0.27,1.75,2.06,30.37,3.00,
85,262,188,126,{'Button': {'on': 'On'}},5,-11.13,6.26,-8.56,-0.36,1.70,2.05,30.41,3.00,
86,262,188,126,{'Button': {'on': 'On'}},6,-10.81,5.97,-8.71,-0.44,1.65,2.01,30.32,3.00,
87,262,188,126,{'Button': {'on': 'On'}},7,-10.47,5.66,-8.12,-0.51,1.58,1.96,30.37,3.00,
88,262,188,126,{'Button': {'on': 'On'}},8,-10.14,5.53,-8.11,-0.58,1.52,1.89,30.37,3.00,
89,262,188,126,{'Button': {'on': 'On'}},9,-9.78,5.36,-7.60,-0.63,1.44,1.81,30.32,3.00,
90,262,188,126,{'Button': {'on': 'On'}},10,-9.53,5.12,-7.37,-0.67,1.35,1.71,30.41,3.00,
91,262,188,126,{'Button': {'on': 'On'}},11,-9.26,5.06,-7.30,-0.70,1.25,1.60,30.37,3.00,
92,262,188,126,{'Button': {'on': 'On'}},12,-9.05,4.92,-6.91,-0.73,1.16,1.50,30.37,3.00,
93,262,188,126,{'Button': {'on': 'On'}},13,-8.97,4.87,-6.81,-0.74,1.06,1.39,30.41,3.00,
94,262,188,126,{'Button': {'on': 'On'}},14,-8.77,4.80,-6.73,-0.76,0.94,1.28,30.32,3.00,
95,262,188,126,{'Button': {'on': 'On'}},15,-8.68,4.78,-6.52,-0.77,0.83,1.17,30.37,3.00,
96,262,188,126,{'Button': {'on': 'On'}},16,-8.32,4.75,-6.95,-0.78,0.73,1.05,30.37,2.00,
97,262,188,126,{'Button': {'on': 'On'}},17,-8.51,4.85,-6.62,-0.79,0.62,0.96,30.37,2.00,
98,262,188,126,{'Button': {'on': 'On'}},18,-8.54,4.93,-6.98,-0.82,0.52,0.87,30.41,3.00,
99,262,188,126,{'Button': {'on': 'On'}},19,-8.57,5.08,-6.96,-0.84,0.39,0.80,30.41,3.00,
100,261,178,118,{'Button': {'on': 'On'}},0,-5.01,1.46,6.96,0.77,4.33,-1.39,30.32,3.00,
101,261,178,118,{'Button': {'on': 'On'}},1,-5.35,1.43,6.86,0.92,4.37,-1.37,30.37,3.00,
102,261,178,118,{'Button': {'on': 'On'}},2,-5.82,1.35,6.80,1.05,4.37,-1.36,30.41,3.00,
103,261,178,118,{'Button': {'on': 'On'}},3,-6.17,1.39,6.76,1.19,4.37,-1.34,30.32,3.00,
104,261,178,118,{'Button': {'on': 'On'}},4,-6.59,1.36,6.56,1.31,4.37,-1.32,30.37,2.00,
105,261,178,118,{'Button': {'on': 'On'}},5,-6.97,1.41,6.38,1.44,4.37,-1.29,30.32,3.00,
106,261,178,118,{'Button': {'on': 'On'}},6,-7.45,1.52,6.23,1.57,4.37,-1.25,30.32,3.00,
107,261,178,118,{'Button': {'on': 'On'}},7,-7.86,1.63,6.08,1.70,4.37,-1.20,30.32,3.00,
108,261,178,118,{'Button': {'on': 'On'}},8,-8.33,1.73,6.14,1.83,4.37,-1.15,30.27,3.00,
109,261,178,118,{'Button': {'on': 'On'}},9,-8.56,1.82,5.86,1.97,4.37,-1.08,30.41,3.00,
110,261,178,118,{'Button': {'on': 'On'}},10,-8.94,1.94,5.88,2.10,4.37,-1.01,30.32,3.00,
111,261,178,118,{'Button': {'on': 'On'}},11,-9.22,2.01,5.71,2.22,4.37,-0.95,30.41,3.00,
112,261,178,118,{'Button': {'on': 'On'}},12,-9.38,2.23,5.26,2.34,4.37,-0.88,30.37,3.00,
113,261,178,118,{'Button': {'on': 'On'}},13,-9.44,2.27,5.08,2.45,4.37,-0.82,30.32,3.00,
114,261,178,118,{'Button': {'on': 'On'}},14,-9.34,2.39,4.69,2.55,4.33,-0.76,30.41,3.00,
115,261,178,118,{'Button': {'on': 'On'}},15,-8.93,2.47,4.27,2.63,4.25,-0.72,30.37,3.00,
