,accounter,LoopSpeedArr,UploadSpeedArr,gps_info,set_index,Ax,Ay,Az,gx,gy,gz,temp,timingForThisSet,timeDifference
0,445,170,109,{'Button': {'on': 'On'}},0,0.81,9.54,-0.61,-0.07,0.67,0.12,30.69,3.00,
1,445,170,109,{'Button': {'on': 'On'}},1,0.78,9.57,-0.64,-0.09,0.66,0.12,30.74,3.00,
2,445,170,109,{'Button': {'on': 'On'}},2,0.80,9.57,-0.63,-0.13,0.67,0.11,30.74,3.00,
3,445,170,109,{'Button': {'on': 'On'}},3,0.84,9.66,-0.62,-0.15,0.69,0.11,30.69,3.00,
4,445,170,109,{'Button': {'on': 'On'}},4,0.78,9.77,-0.34,-0.17,0.72,0.12,30.69,3.00,
5,445,170,109,{'Button': {'on': 'On'}},5,0.87,9.79,-0.48,-0.19,0.77,0.12,30.74,3.00,
6,445,170,109,{'Button': {'on': 'On'}},6,0.81,9.82,-0.56,-0.22,0.84,0.10,30.84,3.00,
7,445,170,109,{'Button': {'on': 'On'}},7,0.54,9.97,-0.10,-0.25,0.90,0.10,30.79,3.00,
8,445,170,109,{'Button': {'on': 'On'}},8,0.40,10.03,-0.16,-0.27,0.94,0.10,30.69,3.00,
9,445,170,109,{'Button': {'on': 'On'}},9,0.31,10.00,-0.10,-0.30,1.00,0.08,30.74,3.00,
10,445,170,109,{'Button': {'on': 'On'}},10,0.06,10.12,0.30,-0.32,1.05,0.08,30.74,3.00,
11,445,170,109,{'Button': {'on': 'On'}},11,-0.02,10.09,0.31,-0.34,1.07,0.08,30.79,3.00,
12,445,170,109,{'Button': {'on': 'On'}},12,-0.05,10.17,0.48,-0.35,1.12,0.07,30.79,3.00,
13,445,170,109,{'Button': {'on': 'On'}},13,-0.16,10.24,0.48,-0.36,1.17,0.05,30.65,3.00,
14,445,170,109,{'Button': {'on': 'On'}},14,-0.19,10.32,0.61,-0.36,1.21,0.04,30.65,2.00,
15,445,170,109,{'Button': {'on': 'On'}},15,-0.21,10.53,0.49,-0.36,1.26,0.02,30.79,2.00,
16,445,170,109,{'Button': {'on': 'On'}},16,-0.23,10.47,0.73,-0.36,1.33,0.01,30.69,3.00,
17,445,170,109,{'Button': {'on': 'On'}},17,-0.18,10.69,0.62,-0.35,1.38,-0.01,30.74,3.00,
18,445,170,109,{'Button': {'on': 'On'}},18,-0.25,10.86,0.34,-0.35,1.46,-0.04,30.74,3.00,
19,445,170,109,{'Button': {'on': 'On'}},19,-0.21,10.82,0.83,-0.34,1.56,-0.06,30.65,3.00,
20,446,189,129,{'Button': {'on': 'On'}},0,-0.47,10.13,1.62,-0.27,1.23,-0.32,30.69,3.00,
21,446,189,129,{'Button': {'on': 'On'}},1,-1.00,9.77,1.95,-0.19,1.21,-0.36,30.74,3.00,
22,446,189,129,{'Button': {'on': 'On'}},2,-1.20,9.52,1.98,-0.11,1.18,-0.38,30.74,3.00,
23,446,189,129,{'Button': {'on': 'On'}},3,-1.24,9.55,1.87,-0.03,1.12,-0.39,30.69,3.00,
24,446,189,129,{'Button': {'on': 'On'}},4,-1.43,9.44,1.94,0.05,1.05,-0.40,30.69,3.00,
25,446,189,129,{'Button': {'on': 'On'}},5,-1.53,9.33,1.53,0.12,0.95,-0.38,30.79,2.00,
26,446,189,129,{'Button': {'on': 'On'}},6,-1.55,9.33,1.33,0.17,0.87,-0.37,30.74,2.00,
27,446,189,129,{'Button': {'on': 'On'}},7,-1.59,9.47,0.90,0.23,0.77,-0.34,30.79,3.00,
28,446,189,129,{'Button': {'on': 'On'}},8,-1.60,9.49,0.50,0.27,0.66,-0.32,30.69,3.00,
29,446,189,129,{'Button': {'on': 'On'}},9,-1.57,9.64,0.17,0.29,0.56,-0.29,30.69,3.00,
30,446,189,129,{'Button': {'on': 'On'}},10,-1.48,9.67,-0.26,0.31,0.45,-0.26,30.74,3.00,
31,446,189,129,{'Button': {'on': 'On'}},11,-1.39,9.66,-0.66,0.32,0.34,-0.23,30.84,3.00,
32,446,189,129,{'Button': {'on': 'On'}},12,-1.23,9.65,-1.12,0.33,0.24,-0.21,30.79,3.00,
33,446,189,129,{'Button': {'on': 'On'}},13,-1.00,9.67,-1.45,0.32,0.13,-0.18,30.69,3.00,
34,446,189,129,{'Button': {'on': 'On'}},14,-0.91,9.59,-1.83,0.30,0.03,-0.16,30.74,3.00,
35,446,189,129,{'Button': {'on': 'On'}},15,-0.84,9.52,-2.19,0.28,-0.06,-0.14,30.74,3.00,
36,446,189,129,{'Button': {'on': 'On'}},16,-0.73,9.45,-2.40,0.25,-0.15,-0.12,30.74,3.00,
37,446,189,129,{'Button': {'on': 'On'}},17,-0.63,9.35,-2.85,0.22,-0.23,-0.10,30.69,3.00,
38,446,189,129,{'Button': {'on': 'On'}},18,-0.42,9.29,-3.13,0.18,-0.30,-0.08,30.69,3.00,
39,446,189,129,{'Button': {'on': 'On'}},19,-0.26,9.24,-3.50,0.15,-0.36,-0.06,30.84,3.00,
40,447,173,113,{'Button': {'on': 'On'}},0,-0.12,9.24,1.05,0.04,-0.91,-0.18,30.74,3.00,
41,447,173,113,{'Button': {'on': 'On'}},1,-0.35,9.39,0.92,0.05,-0.88,-0.20,30.79,3.00,
42,447,173,113,{'Button': {'on': 'On'}},2,-0.37,9.49,0.87,0.05,-0.86,-0.22,30.65,3.00,
43,447,173,113,{'Button': {'on': 'On'}},3,-0.40,9.59,0.79,0.06,-0.83,-0.24,30.74,3.00,
44,447,173,113,{'Button': {'on': 'On'}},4,-0.53,9.62,0.58,0.06,-0.80,-0.25,30.69,3.00,
45,447,173,113,{'Button': {'on': 'On'}},5,-0.51,9.61,0.45,0.06,-0.77,-0.26,30.69,3.00,
46,447,173,113,{'Button': {'on': 'On'}},6,-0.64,9.69,0.45,0.05,-0.74,-0.28,30.74,3.00,
47,447,173,113,{'Button': {'on': 'On'}},7,-0.82,9.75,0.20,0.04,-0.71,-0.30,30.84,2.00,
48,447,173,113,{'Button': {'on': 'On'}},8,-0.85,9.70,0.10,0.03,-0.68,-0.32,30.69,2.00,
49,447,173,113,{'Button': {'on': 'On'}},9,-0.96,9.78,-0.06,0.01,-0.64,-0.33,30.79,3.00,
50,447,173,113,{'Button': {'on': 'On'}},10,-1.08,9.74,-0.16,-0.01,-0.61,-0.35,30.65,3.00,
51,447,173,113,{'Button': {'on': 'On'}},11,-1.06,9.78,-0.37,-0.04,-0.58,-0.37,30.69,3.00,
52,447,173,113,{'Button': {'on': 'On'}},12,-1.20,9.77,-0.53,-0.07,-0.54,-0.38,30.69,3.00,
53,447,173,113,{'Button': {'on': 'On'}},13,-1.26,9.81,-0.62,-0.11,-0.51,-0.39,30.79,3.00,
54,447,173,113,{'Button': {'on': 'On'}},14,-1.23,9.80,-0.84,-0.15,-0.49,-0.42,30.60,3.00,
55,447,173,113,{'Button': {'on': 'On'}},15,-1.24,9.86,-1.05,-0.20,-0.47,-0.44,30.74,3.00,
56,447,173,113,{'Button': {'on': 'On'}},16,-1.30,9.80,-1.21,-0.26,-0.44,-0.48,30.74,3.00,
57,447,173,113,{'Button': {'on': 'On'}},17,-1.36,9.93,-1.21,-0.31,-0.42,-0.51,30.69,3.00,
58,447,173,113,{'Button': {'on': 'On'}},18,-1.43,10.00,-1.28,-0.37,-0.40,-0.53,30.69,3.00,
59,447,173,113,{'Button': {'on': 'On'}},19,-1.68,10.16,-1.23,-0.42,-0.40,-0.55,30.69,3.00,
60,448,1248,1188,{'Button': {'on': 'On'}},0,4.22,6.05,1.84,-0.72,-1.56,1.03,30.69,3.00,
61,448,1248,1188,{'Button': {'on': 'On'}},1,4.07,6.36,1.04,-0.69,-1.48,0.96,30.74,3.00,
62,448,1248,1188,{'Button': {'on': 'On'}},2,4.00,6.51,0.81,-0.67,-1.36,0.92,30.74,3.00,
63,448,1248,1188,{'Button': {'on': 'On'}},3,3.90,6.45,0.94,-0.66,-1.24,0.88,30.69,2.00,
64,448,1248,1188,{'Button': {'on': 'On'}},4,3.56,6.31,1.52,-0.63,-1.16,0.84,30.69,2.00,
65,448,1248,1188,{'Button': {'on': 'On'}},5,3.33,6.19,1.62,-0.59,-1.09,0.81,30.74,3.00,
66,448,1248,1188,{'Button': {'on': 'On'}},6,3.19,6.00,1.80,-0.55,-1.04,0.78,30.74,3.00,
67,448,1248,1188,{'Button': {'on': 'On'}},7,3.03,5.90,1.80,-0.50,-1.02,0.75,30.69,3.00,
68,448,1248,1188,{'Button': {'on': 'On'}},8,3.17,5.80,0.99,-0.44,-0.96,0.73,30.69,3.00,
69,448,1248,1188,{'Button': {'on': 'On'}},9,2.67,5.87,1.99,-0.38,-1.00,0.71,30.65,3.00,
70,448,1248,1188,{'Button': {'on': 'On'}},10,2.69,5.93,1.05,-0.32,-0.97,0.69,30.74,3.00,
71,448,1248,1188,{'Button': {'on': 'On'}},11,2.33,5.94,1.26,-0.27,-1.00,0.68,30.79,3.00,
72,448,1248,1188,{'Button': {'on': 'On'}},12,2.12,6.05,0.98,-0.22,-1.00,0.66,30.69,3.00,
73,448,1248,1188,{'Button': {'on': 'On'}},13,2.02,5.99,0.72,-0.16,-1.03,0.66,30.79,3.00,
74,448,1248,1188,{'Button': {'on': 'On'}},14,1.76,6.07,0.75,-0.11,-1.05,0.66,30.74,3.00,
75,448,1248,1188,{'Button': {'on': 'On'}},15,1.67,6.11,0.52,-0.05,-1.07,0.67,30.69,3.00,
76,448,1248,1188,{'Button': {'on': 'On'}},16,1.57,6.10,0.42,0.00,-1.09,0.67,30.79,3.00,
77,448,1248,1188,{'Button': {'on': 'On'}},17,1.54,6.16,0.22,0.07,-1.11,0.68,30.69,3.00,
78,448,1248,1188,{'Button': {'on': 'On'}},18,1.51,6.27,0.00,0.12,-1.14,0.68,30.74,3.00,
79,448,1248,1188,{'Button': {'on': 'On'}},19,1.36,6.27,-0.13,0.17,-1.16,0.69,30.65,3.00,
80,449,174,112,{'Button': {'on': 'On'}},0,1.69,10.12,-0.36,-0.25,-0.02,0.28,30.69,4.00,
81,449,174,112,{'Button': {'on': 'On'}},1,1.76,10.14,-0.21,-0.25,-0.01,0.29,30.69,2.00,
82,449,174,112,{'Button': {'on': 'On'}},2,1.75,10.07,-0.17,-0.23,-0.00,0.28,30.79,2.00,
83,449,174,112,{'Button': {'on': 'On'}},3,1.74,10.01,0.06,-0.22,0.01,0.29,30.79,3.00,
84,449,174,112,{'Button': {'on': 'On'}},4,1.78,9.95,-0.02,-0.20,0.02,0.29,30.74,3.00,
85,449,174,112,{'Button': {'on': 'On'}},5,1.87,9.90,-0.04,-0.19,0.04,0.28,30.74,3.00,
86,449,174,112,{'Button': {'on': 'On'}},6,1.92,9.89,-0.07,-0.18,0.07,0.28,30.69,3.00,
87,449,174,112,{'Button': {'on': 'On'}},7,1.94,9.84,-0.02,-0.17,0.10,0.27,30.69,3.00,
88,449,174,112,{'Button': {'on': 'On'}},8,1.98,9.86,0.03,-0.16,0.14,0.28,30.74,3.00,
89,449,174,112,{'Button': {'on': 'On'}},9,1.98,9.83,0.02,-0.15,0.17,0.26,30.69,3.00,
90,449,174,112,{'Button': {'on': 'On'}},10,2.09,9.78,0.06,-0.14,0.21,0.25,30.79,3.00,
91,449,174,112,{'Button': {'on': 'On'}},11,2.17,9.71,0.01,-0.13,0.26,0.24,30.79,3.00,
92,449,174,112,{'Button': {'on': 'On'}},12,2.26,9.80,-0.06,-0.12,0.32,0.22,30.79,3.00,
93,449,174,112,{'Button': {'on': 'On'}},13,2.43,9.82,-0.01,-0.11,0.39,0.20,30.74,3.00,
94,449,174,112,{'Button': {'on': 'On'}},14,2.38,9.74,-0.17,-0.10,0.48,0.17,30.74,3.00,
95,449,174,112,{'Button': {'on': 'On'}},15,2.33,9.81,0.11,-0.08,0.54,0.14,30.69,3.00,
96,449,174,112,{'Button': {'on': 'On'}},16,2.56,9.82,-0.16,-0.07,0.64,0.10,30.79,3.00,
97,449,174,112,{'Button': {'on': 'On'}},17,2.63,9.99,-0.12,-0.05,0.74,0.07,30.65,3.00,
98,449,174,112,{'Button': {'on': 'On'}},18,2.63,9.85,-0.14,-0.04,0.84,0.02,30.74,2.00,
99,449,174,112,{'Button': {'on': 'On'}},19,2.74,10.03,-0.19,-0.03,0.95,-0.02,30.69,2.00,
100,450,182,121,{'Button': {'on': 'On'}},0,-1.52,10.41,-1.28,0.08,-3.27,-0.31,30.69,3.00,
101,450,182,121,{'Button': {'on': 'On'}},1,-1.64,10.41,-1.03,0.11,-3.46,-0.26,30.74,2.00,
102,450,182,121,{'Button': {'on': 'On'}},2,-1.77,10.35,-0.92,0.13,-3.63,-0.22,30.74,3.00,
103,450,182,121,{'Button': {'on': 'On'}},3,-1.88,10.24,-0.75,0.16,-3.79,-0.18,30.69,3.00,
104,450,182,121,{'Button': {'on': 'On'}},4,-1.95,10.13,-0.73,0.19,-3.97,-0.13,30.60,3.00,
105,450,182,121,{'Button': {'on': 'On'}},5,-1.99,10.05,-0.58,0.21,-4.14,-0.08,30.84,3.00,
106,450,182,121,{'Button': {'on': 'On'}},6,-1.98,9.99,-0.49,0.25,-4.31,-0.03,30.65,3.00,
107,450,182,121,{'Button': {'on': 'On'}},7,-2.05,9.85,-0.35,0.28,-4.37,0.02,30.74,3.00,
108,450,182,121,{'Button': {'on': 'On'}},8,-2.02,9.85,-0.19,0.30,-4.37,0.08,30.69,3.00,
109,450,182,121,{'Button': {'on': 'On'}},9,-2.10,9.80,-0.23,0.33,-4.37,0.12,30.69,3.00,
110,450,182,121,{'Button': {'on': 'On'}},10,-2.02,9.76,-0.11,0.36,-4.37,0.18,30.74,3.00,
111,450,182,121,{'Button': {'on': 'On'}},11,-2.01,9.78,-0.26,0.38,-4.37,0.24,30.74,3.00,
112,450,182,121,{'Button': {'on': 'On'}},12,-1.98,9.84,-0.28,0.40,-4.37,0.29,30.79,3.00,
113,450,182,121,{'Button': {'on': 'On'}},13,-1.94,9.94,-0.25,0.42,-4.37,0.35,30.79,3.00,
114,450,182,121,{'Button': {'on': 'On'}},14,-1.69,10.07,-0.29,0.43,-4.37,0.40,30.74,3.00,
115,450,182,121,{'Button': {'on': 'On'}},15,-1.50,10.29,-0.61,0.43,-4.37,0.46,30.65,3.00,
116,450,182,121,{'Button': {'on': 'On'}},16,-1.29,10.48,-0.74,0.40,-4.37,0.51,30.79,3.00,
117,450,182,121,{'Button': {'on': 'On'}},17,-1.00,10.71,-0.87,0.37,-4.37,0.56,30.69,3.00,
118,450,182,121,{'Button': {'on': 'On'}},18,-0.62,10.88,-1.07,0.32,-4.37,0.61,30.69,2.00,
119,450,182,121,{'Button': {'on': 'On'}},19,-0.24,10.90,-1.31,0.27,-4.37,0.65,30.74,3.00,
120,451,210,150,{'Button': {'on': 'On'}},0,3.62,8.77,-2.34,-0.20,-1.81,0.09,30.65,4.00,
121,451,210,150,{'Button': {'on': 'On'}},1,3.57,8.86,-2.21,-0.21,-1.71,0.10,30.74,3.00,
122,451,210,150,{'Button': {'on': 'On'}},2,3.48,8.82,-2.24,-0.20,-1.61,0.10,30.74,3.00,
123,451,210,150,{'Button': {'on': 'On'}},3,3.39,8.87,-2.35,-0.20,-1.51,0.10,30.74,2.00,
124,451,210,150,{'Button': {'on': 'On'}},4,3.27,8.85,-2.42,-0.20,-1.42,0.10,30.69,3.00,
125,451,210,150,{'Button': {'on': 'On'}},5,3.15,9.02,-2.45,-0.19,-1.33,0.10,30.74,3.00,
126,451,210,150,{'Button': {'on': 'On'}},6,3.08,9.11,-2.46,-0.19,-1.24,0.11,30.65,3.00,
127,451,210,150,{'Button': {'on': 'On'}},7,3.06,9.13,-2.57,-0.19,-1.16,0.10,30.60,3.00,
128,451,210,150,{'Button': {'on': 'On'}},8,2.95,9.28,-2.61,-0.18,-1.08,0.10,30.69,3.00,
